Depth ID Strategy Param SolutionLength Visited Processed Depth Time
1 1 astr hamm 1 4 2 1 0.0 
1 1 astr manh 1 4 2 1 0.0 
1 1 bfs drlu 1 4 2 0 0.0 
1 1 bfs drul 1 4 2 0 0.0 
1 1 bfs ludr 1 9 4 0 0.001 
1 1 bfs lurd 1 9 4 0 0.0 
1 1 bfs rdlu 1 4 2 0 0.0 
1 1 bfs rdul 1 4 2 0 0.001 
1 1 bfs uldr 1 9 4 0 0.001 
1 1 bfs ulrd 1 9 4 0 0.0 
1 1 dfs drlu 1 4 2 1 0.0 
1 1 dfs drul 1 4 2 1 0.0 
1 1 dfs ludr 1 226474 226474 20 7.215 
1 1 dfs lurd 1 168186 168186 20 5.512 
1 1 dfs rdlu 1 4 2 1 0.0 
1 1 dfs rdul 1 4 2 1 0.0 
1 1 dfs uldr 1 297624 297624 20 11.312 
1 1 dfs ulrd 1 228650 228650 20 7.569 
1 2 astr hamm 1 4 2 1 0.0 
1 2 astr manh 1 4 2 1 0.0 
1 2 bfs drlu 1 4 2 0 0.0 
1 2 bfs drul 1 4 2 0 0.0 
1 2 bfs ludr 1 9 4 0 0.0 
1 2 bfs lurd 1 9 4 0 0.0 
1 2 bfs rdlu 1 4 2 0 0.0 
1 2 bfs rdul 1 4 2 0 0.0 
1 2 bfs uldr 1 9 4 0 0.0 
1 2 bfs ulrd 1 9 4 0 0.0 
1 2 dfs drlu 1 4 2 1 0.0 
1 2 dfs drul 1 4 2 1 0.0 
1 2 dfs ludr 1 228650 228650 20 8.262 
1 2 dfs lurd 1 297624 297624 20 10.709 
1 2 dfs rdlu 1 4 2 1 0.0 
1 2 dfs rdul 1 4 2 1 0.0 
1 2 dfs uldr 1 168186 168186 20 6.973 
1 2 dfs ulrd 1 226474 226474 20 7.939 
2 1 astr hamm 2 6 3 2 0.0 
2 1 astr manh 2 6 3 2 0.0 
2 1 bfs drlu 2 10 5 0 0.001 
2 1 bfs drul 2 10 5 0 0.0 
